# Simulation 4 (Up to date)
# 1037 data points written for 6 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Upper Section(1), Clear Section"
#   Discontinuity in rocket body diameter:  "Clear Section, Upper Section (2)"
#   Too many parallel fins
#   Recovery device deployment at high speed (73.3 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Position East of launch (ft),Position North of launch (ft)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
176.39,575.886,-19.304,0.003,-585.651,0.209
176.89,566.216,-19.379,-0.005,-588.569,0.209
177.39,556.54,-19.325,0.003,-591.498,0.209
177.89,546.87,-19.356,-0.002,-594.414,0.208
178.39,537.199,-19.328,0.002,-597.402,0.208
178.89,527.537,-19.321,4.126e-4,-600.69,0.208
179.39,517.872,-19.339,-0.001,-604.088,0.208
179.89,508.206,-19.325,8.725e-4,-607.29,0.208
180.39,498.542,-19.332,-4.18e-4,-610.465,0.208
180.89,488.878,-19.323,5.214e-4,-613.649,0.208
181.39,479.217,-19.32,1.881e-4,-616.887,0.208
181.89,469.561,-19.303,0.001,-620.029,0.207
182.39,459.905,-19.323,-0.001,-622.854,0.207
182.89,450.246,-19.312,7.043e-4,-625.536,0.207
183.39,440.594,-19.298,8.251e-4,-628.372,0.207
183.89,430.947,-19.288,6.495e-4,-631.642,0.207
184.39,421.295,-19.32,-0.002,-635.221,0.207
184.89,411.642,-19.293,0.002,-638.932,0.207
185.39,401.994,-19.299,-3.576e-4,-642.572,0.207
185.89,392.346,-19.292,4.571e-4,-645.926,0.206
186.39,382.698,-19.298,-4.229e-4,-649.221,0.206
186.89,373.058,-19.262,0.002,-652.847,0.206
187.39,363.416,-19.306,-0.003,-656.608,0.206
187.89,353.771,-19.274,0.002,-660.153,0.206
188.39,344.133,-19.282,-5.089e-4,-663.43,0.206
188.89,334.493,-19.276,3.48e-4,-666.401,0.205
189.39,324.855,-19.277,-4.043e-5,-669.361,0.205
189.89,315.218,-19.268,5.519e-4,-672.606,0.205
190.39,305.581,-19.28,-7.244e-4,-675.944,0.205
190.89,295.946,-19.261,0.001,-679.088,0.205
191.39,286.313,-19.273,-7.163e-4,-682.2,0.205
191.89,276.678,-19.265,4.691e-4,-685.43,0.205
192.39,267.046,-19.266,-2.861e-5,-688.653,0.205
192.89,257.414,-19.261,2.763e-4,-691.86,0.204
193.39,247.79,-19.233,0.002,-695.307,0.204
193.858,238.786,-19.251,-0.001,-698.568,0.204
194.358,229.159,-19.257,-3.606e-4,-701.816,0.204
194.858,219.533,-19.25,4.669e-4,-705.033,0.204
195.358,209.913,-19.228,0.001,-708.469,0.204
195.858,200.292,-19.259,-0.002,-712.065,0.204
196.358,190.668,-19.235,0.001,-715.615,0.203
196.858,181.048,-19.246,-6.968e-4,-719.156,0.203
197.358,171.428,-19.234,7.676e-4,-722.648,0.203
197.858,161.812,-19.23,2.582e-4,-725.974,0.203
198.358,152.195,-19.235,-3.263e-4,-729.228,0.203
198.858,142.58,-19.226,5.486e-4,-732.613,0.203
199.358,132.968,-19.221,3.047e-4,-735.935,0.203
199.858,123.356,-19.229,-4.601e-4,-739.089,0.202
200.358,113.744,-19.218,6.493e-4,-742.266,0.202
200.858,104.134,-19.221,-1.696e-4,-745.555,0.202
201.358,94.525,-19.213,5.024e-4,-748.982,0.202
201.858,84.921,-19.205,5.252e-4,-752.329,0.202
202.358,75.315,-19.219,-8.793e-4,-755.523,0.202
202.858,65.711,-19.196,0.001,-758.593,0.202
203.358,56.109,-19.214,-0.001,-761.471,0.201
203.858,46.511,-19.178,0.002,-764.493,0.201
204.358,36.912,-19.217,-0.002,-767.788,0.201
204.858,27.316,-19.17,0.003,-771.346,0.201
205.358,17.723,-19.201,-0.002,-774.928,0.201
205.858,8.125,-19.189,7.674e-4,-778.291,0.201
# Event GROUND_HIT occurred at t=206.281 seconds
# Event SIMULATION_END occurred at t=206.281 seconds
206.281,0,-19.176,9.435e-4,-781.244,0.201
